Leikdagur,Heimalið,Útilið,Völlur,h_mörk,h_xG,h_pos,h_passesCompleted,h_passes,h_shots,h_shotsOnTarget,h_shotsOutsideBox,a_mörk,a_xG,a_pos,a_passesCompleted,a_passes,a_shots,a_shotsOnTarget,a_shotsOutsideBox
15.08.2022 19:15,Breiðablik,Víkingur R.,Kópavogsvöllur,,,,,,,,,,,,,,,,
2022-08-19 19:15,Víkingur R.,Leiknir R.,Víkingsvöllur,,,,,,,,,,,,,,,,
21.08.2022 17:00,Stjarnan,KA,Samsungvöllurinn,,,,,,,,,,,,,,,,
21.08.2022 17:00,ÍA,ÍBV,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
21.08.2022 19:15,Víkingur R.,Valur,Víkingsvöllur,,,,,,,,,,,,,,,,
22.08.2022 18:00,Leiknir R.,KR,Domusnovavöllurinn,,,,,,,,,,,,,,,,
22.08.2022 18:00,FH,Keflavík,Kaplakrikavöllur,,,,,,,,,,,,,,,,
22.08.2022 19:15,Fram,Breiðablik,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
27.08.2022 19:15,Valur,Fram,Origo völlurinn,,,,,,,,,,,,,,,,
28.08.2022 14:00,ÍBV,Stjarnan,Hásteinsvöllur,,,,,,,,,,,,,,,,
28.08.2022 16:00,KA,Víkingur R.,Greifavöllurinn,,,,,,,,,,,,,,,,
28.08.2022 17:00,Keflavík,ÍA,HS Orku völlurinn,,,,,,,,,,,,,,,,
28.08.2022 17:00,KR,FH,Meistaravellir,,,,,,,,,,,,,,,,
28.08.2022 19:15,Breiðablik,Leiknir R.,Kópavogsvöllur,,,,,,,,,,,,,,,,
04.09.2022 14:00,Leiknir R.,FH,Domusnovavöllurinn,,,,,,,,,,,,,,,,
04.09.2022 14:00,Víkingur R.,ÍBV,Víkingsvöllur,,,,,,,,,,,,,,,,
04.09.2022 17:00,ÍA,KR,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
04.09.2022 17:00,Fram,KA,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
04.09.2022 19:15,Stjarnan,Keflavík,Samsungvöllurinn,,,,,,,,,,,,,,,,
05.09.2022 19:15,Breiðablik,Valur,Kópavogsvöllur,,,,,,,,,,,,,,,,
11.09.2022 14:00,Leiknir R.,Valur,Domusnovavöllurinn,,,,,,,,,,,,,,,,
11.09.2022 14:00,Keflavík,Víkingur R.,HS Orku völlurinn,,,,,,,,,,,,,,,,
11.09.2022 14:00,KR,Stjarnan,Meistaravellir,,,,,,,,,,,,,,,,
11.09.2022 14:00,FH,ÍA,Kaplakrikavöllur,,,,,,,,,,,,,,,,
11.09.2022 14:00,ÍBV,Fram,Hásteinsvöllur,,,,,,,,,,,,,,,,
11.09.2022 14:00,KA,Breiðablik,Greifavöllurinn,,,,,,,,,,,,,,,,
17.09.2022 14:00,Fram,Keflavík,Framvöllur - Úlfarsárdal,,,,,,,,,,,,,,,,
17.09.2022 14:00,Valur,KA,Origo völlurinn,,,,,,,,,,,,,,,,
17.09.2022 14:00,Víkingur R.,KR,Víkingsvöllur,,,,,,,,,,,,,,,,
17.09.2022 14:00,Stjarnan,FH,Samsungvöllurinn,,,,,,,,,,,,,,,,
17.09.2022 14:00,ÍA,Leiknir R.,Norðurálsvöllurinn,,,,,,,,,,,,,,,,
17.09.2022 14:00,Breiðablik,ÍBV,Kópavogsvöllur,,,,,,,,,,,,,,,,
